,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.2180255516840885,-1.3288037166085946,0.10578397212543542,0.2212465737514596,72.69757595818817,-0.6639953542392567,136.29907084785143,-2.8523684088269468,-4.880476771196286,-17.929500580720088,15.892068292682927,17.578271196283385,59.33695029036006,673.8763262485481,23.401290481856044,53.92819407665504,1.1540617886178868,4680.106327758422,71.57612243902439,-390.4235038327526,-106.61030917537751,-22.69049268292681,0.1554246281975014,1.1073380952380953,-66.64342206736353,58.07557921022056,51.68021904761905,-63.52666399535424,-2.233345528455286,1.519636469221835,500.9012088583511
RM,-1.3288037166085946,5.23765969802555,0.5195644599303139,-69.71400464576074,-287.1247020905924,1.482224157955865,-296.96312427409975,-16.816380603948907,13.733025667828105,-94.05511033681765,-36.80888780487803,-129.16490075493613,-151.14765092915212,-2021.5954700929146,-66.86032581796546,-431.41170226480847,-2.996658943089431,-15258.422910046454,-174.08716926829268,1820.6545803135884,330.71884326364676,104.20281463414634,-0.48068429506246296,-3.193130197444833,102.95537549361202,-874.6263317653893,-294.3880455865272,111.12374210220672,-6.371269918699185,-12.34653304297329,-1718.8820376057959
RMI,0.10578397212543542,0.5195644599303139,3.387229965156795,-24.348974912891993,-155.2395013937283,0.4764285714285714,-261.2649825783973,14.789948432055748,4.203506271777003,-52.77508710801394,-3.560170731707314,-79.12500226480839,-75.53599912891984,-368.4346980836241,4.560251457465795,146.40757369337982,-1.8533475609756098,-11857.193208188153,-113.89803512195118,329.72215801393725,384.3425663763066,-6.535417073170729,0.41865639500297447,-1.3927540069686417,6.591167944250873,214.42359738675964,116.52434860627181,121.44605313588849,-1.6039439024390263,-3.8206820557491294,-572.6335683105575
Emigranti,0.2212465737514596,-69.71400464576074,-24.348974912891993,6634.2774366318245,22769.588622655054,-1.197911265969801,9071.582277584204,-154.69321802322898,-28.675050524970995,3199.5920267131232,1009.7667614146342,4097.310842800231,4581.706480716608,72937.01755212779,1518.7473071267107,11645.75307798606,5.323548211382121,292212.71676525904,3925.781114604877,-43887.185021059224,-9683.58807617654,556.3017831219514,-13.787957376561572,-9.795962405342602,-232.32418148664306,2753.816582744482,11622.573621541229,-479.788484091754,176.35829935772364,396.38686295238097,17727.550042555933
Imigranti,72.69757595818817,-287.1247020905924,-155.2395013937283,22769.588622655054,141072.6804171777,103.0839355400697,27957.661599303137,-3098.4416263763064,925.517348456446,-1600.5392891986062,3427.832431243902,11587.617555529612,10045.564666891987,271052.0062018503,2100.1593050672227,-12434.779256459933,-229.74741163414626,107853.07873471752,9915.806409773173,-115530.5273930035,-36951.244468655044,979.5648725853679,-84.10992654431885,-182.72505044947738,-5879.945786376306,-82979.41242596864,17493.624632104536,2437.0058966794404,-1335.5857250975612,-77.8615832543557,-143966.9612698964
RS,-0.6639953542392567,1.482224157955865,0.4764285714285714,-1.197911265969801,103.0839355400697,2.9714576074332175,-331.5732288037167,-21.804056562137056,26.284488037166092,-98.01190476190476,-16.569160975609755,-72.09458472706157,-134.2122756678281,-1042.4665230545877,-24.43166823319453,-272.9902200348433,-3.8941589430894297,-18176.283399941927,-149.3461007317073,1025.3611663763068,301.3741059814169,-3.91863902439025,0.0852600237953599,-2.7150207897793273,67.4897580720093,-527.4561941347271,-276.3109567363531,74.27094279907085,-9.451586991869917,-9.076762659698025,-2036.263601398305
Sal,136.29907084785143,-296.96312427409975,-261.2649825783973,9071.582277584204,27957.661599303137,-331.5732288037167,137725.97502903605,-471.2471997677127,-3169.3522415795583,33848.71022067364,7529.025268292682,38177.128225900124,52948.72687746806,674925.3565987225,13226.223337299229,45343.110238675974,761.4433617886178,6118189.417366435,51032.715265853665,-262190.72499477345,-130929.75545238092,9244.389268292683,-122.24868768590127,531.3633774680605,-21099.857053426244,17424.38966840882,69651.00740824622,-34675.5105720093,2591.8533252032516,3491.977275842045,530054.2817502364
CSom,-2.8523684088269468,-16.816380603948907,14.789948432055748,-154.69321802322898,-3098.4416263763064,-21.804056562137056,-471.2471997677127,5603.351090304297,-309.6030136399535,5577.938828106854,214.9506012439025,4206.309531465738,1318.2696160197443,45499.31113318002,63.78996772278381,5729.378209421604,96.79807247967481,279978.08864654123,1510.7159929024388,-22086.120389202082,3223.2977590394903,-1565.5226966097557,18.204152118976797,0.004655800232300507,699.0897305725904,-3249.6249924332155,16348.892828583043,-688.4661144785135,323.26772128455275,506.76713681649255,34031.98214959984
AjSoc,-4.880476771196286,13.733025667828105,4.203506271777003,-28.675050524970995,925.517348456446,26.284488037166092,-3169.3522415795583,-309.6030136399535,281.8072204785134,-1288.3211091753772,-167.5202232926829,-915.734916952381,-1272.4573639245061,-12015.030144833916,-200.7364374247472,-2214.4864686376304,-30.50329542276423,-190589.1930839779,-1429.237472014634,10568.750453540071,3007.183932150987,-290.02270229268305,-0.12666770493753704,-23.75973550987225,594.4000982137052,-6581.385365063878,-2859.9306232183517,862.7664168246226,-119.29616269105692,-110.38960037166088,-19162.49755729289
Pensie,-17.929500580720088,-94.05511033681765,-52.77508710801394,3199.5920267131232,-1600.5392891986062,-98.01190476190476,33848.71022067364,5577.938828106854,-1288.3211091753772,35215.66840882695,2370.5740731707324,21060.467065621368,16410.243588269455,222907.59622590014,6861.382258179655,59093.53224564459,262.43743495934956,2289453.439143438,14255.678368292687,-155937.19529442507,-58138.8831527294,-692.6397804878051,6.395244497323018,127.9447955865273,-3230.157147502905,71111.24236527293,20055.228153890836,-14488.328969221835,2055.5472032520324,2388.2760842044136,178258.47973064941
PopScolara,15.892068292682927,-36.80888780487803,-3.560170731707314,1009.7667614146342,3427.832431243902,-16.569160975609755,7529.025268292682,214.9506012439025,-167.5202232926829,2370.5740731707324,914.4765934634146,4126.27903009756,4344.242032463414,65791.54656997559,1434.1522939851284,6374.053960756099,54.978284195121944,367405.2025597073,2277.2089660682927,-19381.29427568293,-5865.774030146341,-210.62857307317051,1.1990906763831048,0.11885804878049554,-1600.504034121951,9191.361869487804,4962.373912682927,-2242.5723215609764,227.04969107317075,314.6116541707317,28316.14912350106
PaturiUS,17.578271196283385,-129.16490075493613,-79.12500226480839,4097.310842800231,11587.617555529612,-72.09458472706157,38177.128225900124,4206.309531465738,-915.734916952381,21060.467065621368,4126.27903009756,33774.180075759,26255.724768201508,381228.2754311946,7139.348504628197,28914.612506716032,365.2129863861789,2275151.3204554575,10849.87941459268,-93534.09414420383,-34619.436092975026,753.8241815121961,15.658708359904814,-51.720854664343726,-4767.366776875726,53201.73440935483,23233.405739143433,-13405.188603268874,1582.7679840569106,2134.373676795006,114063.83256560551
Medici,59.33695029036006,-151.14765092915212,-75.53599912891984,4581.706480716608,10045.564666891987,-134.2122756678281,52948.72687746806,1318.2696160197443,-1272.4573639245061,16410.243588269455,4344.242032463414,26255.724768201508,32641.19552119454,332821.72803333047,5990.796404254016,23522.20015067771,461.92765233739834,2539050.2584346337,16894.75646679024,-92009.34936431186,-43545.48671984263,2046.7810338292684,-28.25943898631767,116.70692718234615,-9565.380272516843,35595.26126288793,23077.719781213127,-16825.102437157377,1334.6437269349592,1901.5422283977937,229511.143192187
VolumeB,673.8763262485481,-2021.5954700929146,-368.4346980836241,72937.01755212779,271052.0062018503,-1042.4665230545877,674925.3565987225,45499.31113318002,-12015.030144833916,222907.59622590014,65791.54656997559,381228.2754311946,332821.72803333047,7191195.957486839,109156.04076024452,331489.8026934861,4920.0827900691065,37020188.122705445,205758.81374320734,-1382831.876506389,-461516.6081383512,38496.447852731726,286.65434522962516,-701.2403197549359,-87493.2735670883,161846.85484101684,817250.2274994641,-104164.02061623403,18926.99003522764,27201.144897777587,1695744.5856755166
SpectatoriS,23.401290481856044,-66.86032581796546,4.560251457465795,1518.7473071267107,2100.1593050672227,-24.43166823319453,13226.223337299229,63.78996772278381,-200.7364374247472,6861.382258179655,1434.1522939851284,7139.348504628197,5990.796404254016,109156.04076024452,9460.568246610354,46683.72324536052,119.58789812135636,744927.171802571,6316.536843644616,-45065.891351459264,-10868.053934252232,474.64245830577056,5.210228816485539,19.028772569898887,-1918.2310813355155,38024.440251079715,10454.646346684116,-4322.4321952522305,762.9965772278406,962.7604534277212,66043.55325017983
VizitatoriM,53.92819407665504,-431.41170226480847,146.40757369337982,11645.75307798606,-12434.779256459933,-272.9902200348433,45343.110238675974,5729.378209421604,-2214.4864686376304,59093.53224564459,6374.053960756099,28914.612506716032,23522.20015067771,331489.8026934861,46683.72324536052,373764.22695768473,483.2596620609759,3080489.877806712,30512.523923000004,-416033.4015240019,-63089.25033551048,-16655.18244643903,43.109775759666874,208.52176900696878,-7815.111959651568,397533.58427057683,45879.53235908889,-18266.20640187979,4808.609879463416,5229.74964855575,424377.7643410139
SportiviL,1.1540617886178868,-2.996658943089431,-1.8533475609756098,5.323548211382121,-229.74741163414626,-3.8941589430894297,761.4433617886178,96.79807247967481,-30.50329542276423,262.43743495934956,54.978284195121944,365.2129863861789,461.92765233739834,4920.0827900691065,119.58789812135636,483.2596620609759,22.04121921544715,53586.1627836626,314.61881127317076,-1615.4562072317071,-377.28151731300824,0.5527351463414835,0.47065776799524073,4.5423859349593485,-101.5867099593496,1260.2078848739836,716.5790879065039,-380.71762307723577,43.97649178861788,51.52028610162601,5910.4105019468325
PIB,4680.106327758422,-15258.422910046454,-11857.193208188153,292212.71676525904,107853.07873471752,-18176.283399941927,6118189.417366435,279978.08864654123,-190589.1930839779,2289453.439143438,367405.2025597073,2275151.3204554575,2539050.2584346337,37020188.122705445,744927.171802571,3080489.877806712,53586.1627836626,368968250.2221909,2404780.0262889415,-14072030.75729552,-5884984.38222835,650482.6543056342,-1667.1546015151694,27258.367686110334,-921497.1597494347,4937839.578167186,5269843.836004421,-1909271.7715868186,191362.35343611383,227772.86256730958,28939170.117948357
SalariatiC,71.57612243902439,-174.08716926829268,-113.89803512195118,3925.781114604877,9915.806409773173,-149.3461007317073,51032.715265853665,1510.7159929024388,-1429.237472014634,14255.678368292687,2277.2089660682927,10849.87941459268,16894.75646679024,205758.81374320734,6316.536843644616,30512.523923000004,314.61881127317076,2404780.0262889415,28886.055465307316,-134701.57175417323,-57392.58482533905,3052.4932136878065,-25.85774092980369,419.8952639926829,-7522.6325347365855,9700.726924890243,31996.392680646335,-15638.029076763418,859.84896997561,1551.6415293731704,271482.0477494751
PAgrVeg,-390.4235038327526,1820.6545803135884,329.72215801393725,-43887.185021059224,-115530.5273930035,1025.3611663763068,-262190.72499477345,-22086.120389202082,10568.750453540071,-155937.19529442507,-19381.29427568293,-93534.09414420383,-92009.34936431186,-1382831.876506389,-45065.891351459264,-416033.4015240019,-1615.4562072317071,-14072030.75729552,-134701.57175417323,1893815.0003230998,350368.6446021935,19812.332832560976,-278.54795374419984,-1817.7735962020909,73260.71322035887,-551605.2013716012,-198362.9096062108,84808.27383173347,-9523.805589439022,-12423.652413653312,-880848.3493175696
PAgrAnim,-106.61030917537751,330.71884326364676,384.3425663763066,-9683.58807617654,-36951.244468655044,301.3741059814169,-130929.75545238092,3223.2977590394903,3007.183932150987,-58138.8831527294,-5865.774030146341,-34619.436092975026,-43545.48671984263,-461516.6081383512,-10868.053934252232,-63089.25033551048,-377.28151731300824,-5884984.38222835,-57392.58482533905,350368.6446021935,357884.46434966853,-8076.0039730243925,151.9811215651398,-911.1376296353078,34972.81603835655,-80514.25014962653,-17743.208001317635,56699.47320845356,-2390.3116093739854,-4201.72902036295,-293268.6323440457
ServAgr,-22.69049268292681,104.20281463414634,-6.535417073170729,556.3017831219514,979.5648725853679,-3.91863902439025,9244.389268292683,-1565.5226966097557,-290.02270229268305,-692.6397804878051,-210.62857307317051,753.8241815121961,2046.7810338292684,38496.447852731726,474.64245830577056,-16655.18244643903,0.5527351463414835,650482.6543056342,3052.4932136878065,19812.332832560976,-8076.0039730243925,21449.435954682922,-44.979679726948234,-44.74800075609752,-1140.8785437804881,-25476.148952243904,5092.319725780493,-3052.9759614390236,649.316536487805,514.613451,-15147.461261160614
Silvicultura,0.1554246281975014,-0.48068429506246296,0.41865639500297447,-13.787957376561572,-84.10992654431885,0.0852600237953599,-122.24868768590127,18.204152118976797,-0.12666770493753704,6.395244497323018,1.1990906763831048,15.658708359904814,-28.25943898631767,286.65434522962516,5.210228816485539,43.109775759666874,0.47065776799524073,-1667.1546015151694,-25.85774092980369,-278.54795374419984,151.9811215651398,-44.979679726948234,1.1826583355145748,-0.21548427602617484,23.97325398869719,159.794723353956,53.65078891136234,12.077005800713868,-1.1802661802498513,0.7797585627602616,-353.56691133088776
